location,Excel,Excel,Excel,Excel
lat,51.33319,51.33319,51.33319,51.33319
lon,-110.625,-110.625,-110.625,-110.625
asl,763.029,763.029,763.029,763.029
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Excel Temperature [2 m elevation corrected],Excel Precipitation Total,Excel Wind Speed [10 m],Excel Wind Direction [10 m]
20201109T0000,-10.171812,0,38.047756,339.5074
20201109T0100,-10.671812,0,35.127216,335.79904
20201109T0200,-11.091812,0,28.673721,331.50436
20201109T0300,-13.141812,0,21.533897,321.789
20201109T0400,-16.571812,0,18.532135,299.0546
20201109T0500,-9.041812,0,16.923828,299.29138
20201109T0600,-9.001812,0,13.896187,286.55707
20201109T0700,-9.121812,0,10.799999,270
20201109T0800,-8.991813,0,10.787993,244.29004
20201109T0900,-7.831812,0,12.599998,233.1301
20201109T1000,-6.721812,0,16.831684,228.46823
20201109T1100,-5.8018117,0,19.61587,222.76883
20201109T1200,-4.941812,0,21.385939,216.09828
20201109T1300,-4.2818117,0,22.702845,207.3777
20201109T1400,-3.891812,0,23.806318,200.35323
20201109T1500,-3.961812,0,23.863409,191.30994
20201109T1600,-4.951812,0,21.24,180
20201109T1700,-6.7418118,0,20.674158,172.99873
20201109T1800,-7.4018116,0,20.721119,172.01067
20201109T1900,-7.8418117,0,19.559633,173.6598
20201109T2000,-8.321813,0,17.771753,173.01894
20201109T2100,-8.781813,0,15.986595,172.23483
20201109T2200,-9.2318125,0,13.849476,171.02737
20201109T2300,-9.6918125,0,12.682018,173.4802
20201110T0000,-10.121812,0,11.5199995,180
20201110T0100,-10.451813,0,10.538843,187.85332
20201110T0200,-10.761812,0,9.107359,198.43495
20201110T0300,-10.9418125,0,7.9932966,215.83765
20201110T0400,-11.071813,0,7.4128532,240.9454
20201110T0500,-7.601812,0,5.692099,235.30484
20201110T0600,-6.5518117,0,2.0364676,225
20201110T0700,-5.521812,0,5.04,270
20201110T0800,-4.8018117,0,10.703569,289.6538
20201110T0900,-4.451812,0,13.584932,302.00537
20201110T1000,-3.5818121,1.5,17.373497,304.01935
20201110T1100,-2.251812,1.2,22.97522,305.43332
20201110T1200,-0.41181195,0.6,28.006056,313.95837
20201110T1300,0.508188,0,32.978832,323.88068
20201110T1400,0.38818803,0,36.12398,330.11346
20201110T1500,-0.10181196,0,37.419224,329.98163
20201110T1600,-0.77181196,0,37.84283,325.8564
20201110T1700,-1.4418119,0.2,38.457703,321.84277
20201110T1800,-1.8618119,0.2,30.10685,318.87854
20201110T1900,-2.291812,0.2,38.351406,327.6526
20201110T2000,-3.161812,0.3,47.131134,341.28827
20201110T2100,-4.431812,0.3,54.513554,349.729
20201110T2200,-6.251812,0.3,54.431477,352.78098
20201110T2300,-7.311812,0.3,51.48503,353.17316
20201111T0000,-8.171812,0.2,48.009747,351.80914
20201111T0100,-8.9418125,0.2,45.755417,349.57422
20201111T0200,-9.661812,0.2,44.009903,346.7595
20201111T0300,-10.461812,0.2,43.17149,343.52957
20201111T0400,-11.331812,0.2,42.009083,342.03088
20201111T0500,-12.001812,0.2,39.279613,340.73474
20201111T0600,-12.021812,0.1,36.115017,336.50146
20201111T0700,-11.911812,0.1,38.511585,339.19324
20201111T0800,-11.821813,0,38.48129,340.88702
20201111T0900,-11.521812,0,38.275295,343.61047
20201111T1000,-11.591812,0,36.67232,346.37302
20201111T1100,-11.521812,0,32.136932,347.0535
20201111T1200,-11.4418125,0,27.067116,346.14862
20201111T1300,-11.201813,0,22.768398,341.56506
20201111T1400,-10.761812,0,20.12461,333.43497
20201111T1500,-10.541812,0,19.272614,327.20047
20201111T1600,-10.741813,0,18.218275,322.22433
20201111T1700,-12.461812,0,15.124284,321.76617
20201111T1800,-14.4418125,0,9.085988,303.69006
20201111T1900,-15.211812,0,6.638072,282.5288
20201111T2000,-16.021812,0,6.28713,256.7595
20201111T2100,-16.851812,0,6.618519,225
20201111T2200,-17.211813,0,8.699793,204.44395
20201111T2300,-17.381813,0,10.739833,193.57043
20201112T0000,-17.491812,0,11.966953,186.91122
20201112T0100,-17.531813,0,12.620554,183.2705
20201112T0200,-17.381813,0,13.324863,181.54816
20201112T0300,-16.871813,0,14.77755,182.79271
20201112T0400,-15.011812,0,16.263872,185.0796
20201112T0500,-14.421812,0,17.81909,188.1301
20201112T0600,-14.881812,0,16.394829,188.84181
20201112T0700,-15.861813,0,17.114204,194.62088
20201112T0800,-16.571812,0,18.692286,195.64224
20201112T0900,-15.341812,0,21.868332,200.22485
20201112T1000,-12.701813,0,24.48,208.0725
20201112T1100,-9.871812,0,25.872456,211.92088
20201112T1200,-7.971812,0,25.488914,216.38435
20201112T1300,-7.0918117,0,24.192429,216.52885
20201112T1400,-6.431812,0,22.473343,215.21759
20201112T1500,-6.5918117,0,20.808498,210.11374
20201112T1600,-7.791812,0,20.326454,202.9321
20201112T1700,-9.021812,0,21.068459,199.98311
20201112T1800,-8.791812,0,17.377226,193.17256
20201112T1900,-8.711812,0,18.448023,185.59933
20201112T2000,-8.431812,0,20.478907,190.12466
20201112T2100,-8.571813,0,23.000591,197.30052
20201112T2200,-9.101812,0,23.73271,202.28558
20201112T2300,-10.071813,0,23.34455,206.56505
20201113T0000,-11.601812,0,22.9724,212.19574
20201113T0100,-12.9818125,0,23.113008,217.40536
20201113T0200,-14.001812,0,22.406927,223.69804
20201113T0300,-14.651813,0,23.1774,226.88818
20201113T0400,-14.601812,0,22.91026,225
20201113T0500,-14.071813,0,24.75638,220.8724
20201113T0600,-12.501812,0,21.485697,211.29303
20201113T0700,-11.401813,0,21.734581,206.56505
20201113T0800,-9.971812,0,25.603062,207.64598
20201113T0900,-7.3418117,0,28.84721,209.12405
20201113T1000,-5.711812,0,30.993471,210.73549
20201113T1100,-3.261812,0,33.24888,213.518
20201113T1200,-0.991812,0,34.778683,216.15819
20201113T1300,-0.34181195,0,32.353966,214.57419
20201113T1400,-0.15181196,0,28.40124,210.46555
20201113T1500,0.19818804,0,26.405453,205.86636
20201113T1600,0.17818806,0,25.0064,202.87367
20201113T1700,-0.0018119514,0,23.03156,204.96278
20201113T1800,-0.53181195,0,4.072935,135
20201113T1900,-0.8218119,0,5.2416787,105.9454
20201113T2000,-1.2318119,0,6.151683,110.556046
20201113T2100,-1.641812,0,5.1165614,129.2894
20201113T2200,-1.5818119,0,1.8,233.1301
20201113T2300,-3.151812,0,9.504273,294.62357
20201114T0000,-5.101812,0,17.654688,309.2072
20201114T0100,-4.941812,0,25.582806,320.7106
20201114T0200,-5.441812,0,32.353966,325.4258
20201114T0300,-6.3218117,0,35.04596,326.30994
20201114T0400,-6.1718116,0,36.55729,327.875
20201114T0500,-5.481812,0,37.24043,330.46124
20201114T0600,-5.3018117,0,28.583183,310.91437
20201114T0700,-5.001812,0.1,32.271744,308.65982
20201114T0800,-4.5718117,0,34.679794,311.63354
20201114T0900,-3.871812,0,36.918873,313.81476
20201114T1000,-3.011812,0,38.183765,315
20201114T1100,-2.3518121,0,38.439167,315.37946
20201114T1200,-1.9918119,0,37.67809,315.77423
20201114T1300,-1.9518119,0,37.441727,316.9481
20201114T1400,-2.081812,0,37.52471,319.27948
20201114T1500,-2.481812,0,35.870163,321.5198
20201114T1600,-3.181812,0,32.33193,322.23694
20201114T1700,-4.171812,0,27.103003,320.38934
20201114T1800,-5.701812,0,15.7908325,294.22775
20201114T1900,-7.8018117,0,14.973576,279.68878
20201114T2000,-9.491813,0,15.119999,270
20201114T2100,-10.831812,0,13.084402,262.09283
20201114T2200,-11.131812,0,11.27553,253.30075
20201114T2300,-11.581812,0,11.269782,243.43495
20201115T0000,-10.881812,0,11.090103,234.24612
20201115T0100,-10.311812,0,9.957108,220.60129
20201115T0200,-9.961812,0,9.178235,205.55997
20201115T0300,-10.031813,0,8.647496,182.38594
20201115T0400,-10.4818125,0,10.041354,165.46555
20201115T0500,-10.841812,0,12.904882,157.01128
20201115T0600,-10.141812,0,15.509274,158.1986
20201115T0700,-8.641812,0,15.778518,152.85031
20201115T0800,-8.171812,0,19.130875,160.20113
20201115T0900,-6.9918118,0,21.313093,164.32048
20201115T1000,-5.6518116,0,24.884306,165.76271
20201115T1100,-4.521812,0,27.333935,167.06195
20201115T1200,-4.081812,0,26.727423,175.36453
20201115T1300,-3.751812,0,23.377836,189.75243
20201115T1400,-2.481812,0,19.881649,211.67548
20201115T1500,-1.021812,0,16.489416,233.88066
20201115T1600,-0.60181195,0,16.808569,260.1342
20201115T1700,-1.4518119,0,20.721119,277.98932
20201115T1800,-3.911812,0,4.072935,315
20201115T1900,-5.851812,0,10.182337,315
20201115T2000,-7.711812,0,11.966954,316.21887
20201115T2100,-9.131812,0,11.966954,313.78113
20201115T2200,-10.151813,0,11.988594,311.34778
20201115T2300,-10.771812,0,10.97262,311.0091
20201116T0000,-10.001812,0,9.931042,313.5312
20201116T0100,-10.6918125,0,8.14587,315
20201116T0200,-10.561812,0,5.3999996,306.8699
20201116T0300,-10.431812,0,2.9024127,299.74487
20201116T0400,-10.541812,0,0.35999998,180
20201116T0500,-10.381812,0,2.968636,165.96376
20201116T0600,-10.431812,0,5.0911684,171.8699
20201116T0700,-10.601812,0,6.12,180
20201116T0800,-10.681812,0,5.506941,191.30994
20201116T0900,-9.951813,0,4.2136917,199.98311
20201116T1000,-8.091812,0,3.7064266,209.05461
20201116T1100,-6.601812,0,3.563818,225
20201116T1200,-5.521812,0,4.0249224,243.43495
20201116T1300,-5.0118117,0,4.6938252,265.6013
20201116T1400,-4.561812,0,4.68,270
20201116T1500,-4.5518117,0,2.8799999,270
20201116T1600,-5.1118116,0,1.9386592,201.8014
20201116T1700,-5.691812,0,3.5455887,156.0375
20201116T1800,-5.6518116,0,6.4096174,141.84277
20201116T1900,-5.411812,0,8.404285,133.26428
20201116T2000,-5.3618116,0,11.709688,135
20201116T2100,-5.471812,0,13.755579,137.1211
20201116T2200,-5.391812,0,15.281989,136.90915
20201116T2300,-5.2618117,0,17.057314,134.1449
